Image1,Image1_Path,Image2,Image2_Path,Similarity,Text Query
http://t3.gstatic.com/images?q=tbn:ANd9GcQPRZP68raMqfBI01OSwczhMdgvGoCkD8UWi8gvffzuCujdwYtz,kamelot_0/Q.jpg,http://t3.gstatic.com/images?q=tbn:ANd9GcQty6wlsxHUKA5thWOBaPdBBDDrwD5wc1CaydXxYp2Ao95Y-amS,kamelot_0/P.jpg,1,kamelot
http://t3.gstatic.com/images?q=tbn:ANd9GcQPRZP68raMqfBI01OSwczhMdgvGoCkD8UWi8gvffzuCujdwYtz,kamelot_0/Q.jpg,http://t3.gstatic.com/images?q=tbn:ANd9GcQfFfrrETboCq4F5gcs9URSXPcJ0y6cAxy6hTmfVWqI0LZ4eUs8,kamelot_0/N.jpg,-1,kamelot
http://t3.gstatic.com/images?q=tbn:ANd9GcS2HSyzhqQ0KGjWEiZ4MkeCEPc0yG76TdRmf5Iy5o-KyiXTPDOl,aliens_1/Q.jpg,http://t0.gstatic.com/images?q=tbn:ANd9GcQvF763KdW9yQ5LAkaUJl4WfGgTrRJOArAjuubvGGoOlLhtk9yV,aliens_1/P.jpg,1,aliens
http://t3.gstatic.com/images?q=tbn:ANd9GcS2HSyzhqQ0KGjWEiZ4MkeCEPc0yG76TdRmf5Iy5o-KyiXTPDOl,aliens_1/Q.jpg,http://t0.gstatic.com/images?q=tbn:ANd9GcSmtrN2XYDAG4RzPoTKSVclT9YM-J5yN0nWxVTOpI74yVv5UbWH,aliens_1/N.jpg,-1,aliens
http://t2.gstatic.com/images?q=tbn:ANd9GcTavxWNWeokDchhAqb9AIyYjpAY3QG8qQyVP5R307Jg08Wjkl7k,viagra_2/Q.jpg,http://t3.gstatic.com/images?q=tbn:ANd9GcS2Bf9PzsP3WayxH5AENGkohLJe_22PUmSS1e4kt1ozH3ZXRiX1,viagra_2/P.jpg,1,viagra
http://t2.gstatic.com/images?q=tbn:ANd9GcTavxWNWeokDchhAqb9AIyYjpAY3QG8qQyVP5R307Jg08Wjkl7k,viagra_2/Q.jpg,http://t1.gstatic.com/images?q=tbn:ANd9GcSVs27zXa2UGa5y67k77wr0NwYTP1PRCcB-ZYvz_T3MjfVR553Q,viagra_2/N.jpg,-1,viagra
http://t0.gstatic.com/images?q=tbn:ANd9GcQnKS8-s47W6XIRc9rvvKK8usCHBikOF_eJ9xKP-Udw6TS05ViL,wallpapers_3/Q.jpg,http://t3.gstatic.com/images?q=tbn:ANd9GcQOoV-effQLneYh1yuCHEZcJZC4_CbnelSvcodcLjy2bBtEs8Mx,wallpapers_3/P.jpg,1,wallpapers
http://t0.gstatic.com/images?q=tbn:ANd9GcQnKS8-s47W6XIRc9rvvKK8usCHBikOF_eJ9xKP-Udw6TS05ViL,wallpapers_3/Q.jpg,http://t0.gstatic.com/images?q=tbn:ANd9GcRAQ3f3YpJ7NRGDHhhiRsDz4j1lGLF_d0eWh0oIqSLDHzM1vMCr,wallpapers_3/N.jpg,-1,wallpapers
http://t0.gstatic.com/images?q=tbn:ANd9GcQnKS8-s47W6XIRc9rvvKK8usCHBikOF_eJ9xKP-Udw6TS05ViL,wallpapers_4/Q.jpg,http://t3.gstatic.com/images?q=tbn:ANd9GcQOoV-effQLneYh1yuCHEZcJZC4_CbnelSvcodcLjy2bBtEs8Mx,wallpapers_4/P.jpg,1,wallpapers
http://t0.gstatic.com/images?q=tbn:ANd9GcQnKS8-s47W6XIRc9rvvKK8usCHBikOF_eJ9xKP-Udw6TS05ViL,wallpapers_4/Q.jpg,http://t1.gstatic.com/images?q=tbn:ANd9GcQIIESxDSaOt_v8vjleqhIh9z4WaVTaazYv9IPjrlKfP9U-oxmb,wallpapers_4/N.jpg,-1,wallpapers
